scan_id,file_path,type,status,risk,score,sha256,sha256_prev,ssdeep,ssdeep_prev,phash,origin
0dee571b-70da-463a-a20a-aa1c822766f9,/home/devadharshini/Downloads/data-images/Canon_60D/pristine/DPP0243.TIF,image,intact,ok,100.0,8662db5cd8b454bbfea9ea97cb573e717b8cd5a404d0123ee71d8956abceb07c,8662db5cd8b454bbfea9ea97cb573e717b8cd5a404d0123ee71d8956abceb07c,49152:X9yfTO/wUc3b7X9MQzlAuDMPaHXbXire8/xu2w0firuZTSGuUyJuMHN0K:XQfTLRuQzRugbSqyw06S9uQM9,49152:X9yfTO/wUc3b7X9MQzlAuDMPaHXbXire8/xu2w0firuZTSGuUyJuMHN0K:XQfTLRuQzRugbSqyw06S9uQM9,9dae71383472e147,ai_or_synthetic
0dee571b-70da-463a-a20a-aa1c822766f9,/home/devadharshini/Downloads/data-images/Canon_60D/pristine/DPP0622.TIF,image,intact,ok,100.0,b139eadc2e9acef95b0afb7de14dbbddda6bc653e939138396247192ae4e3277,b139eadc2e9acef95b0afb7de14dbbddda6bc653e939138396247192ae4e3277,49152:P6kHGEQV3Y5dk32K/mtYbCstEhZQskmmrf49JhtTYZJSiHsdMI+theIm6CqYQmF2:Jk313Buka7Xkp0bYWiHsrOe6fYQm2,49152:P6kHGEQV3Y5dk32K/mtYbCstEhZQskmmrf49JhtTYZJSiHsdMI+theIm6CqYQmF2:Jk313Buka7Xkp0bYWiHsrOe6fYQm2,d2528d9473344bed,ai_or_synthetic
0dee571b-70da-463a-a20a-aa1c822766f9,/home/devadharshini/Downloads/data-images/Canon_60D/pristine/DPP0551.TIF,image,intact,ok,100.0,ef6b4508e67f0a919d6643fd92ff0fb0c28b16e2fbfee48a387e2830ffa9790e,ef6b4508e67f0a919d6643fd92ff0fb0c28b16e2fbfee48a387e2830ffa9790e,98304:+J6BCccxBhH9DnD49Ymkdjsl9tT0DT7KWcVSmF0gHF:VtEBh109Y3dAl9t4nNKF0MF,98304:+J6BCccxBhH9DnD49Ymkdjsl9tT0DT7KWcVSmF0gHF:VtEBh109Y3dAl9t4nNKF0MF,9d6a9df909c107c5,ai_or_synthetic
0dee571b-70da-463a-a20a-aa1c822766f9,/home/devadharshini/Downloads/data-images/Canon_60D/pristine/DPP0022.TIF,image,intact,ok,100.0,5ea87066d7cc264e627fcec190bfbeabe09b48ccad8f45b6f9ea50d99be0b724,5ea87066d7cc264e627fcec190bfbeabe09b48ccad8f45b6f9ea50d99be0b724,49152:SelyRGvIFE0bYjiYbMaSufPgZK2CZIdPFu00A0oFV4VRaqIdTQcr2o29:ZCGvIFGt14ZK4iA0oL4VRaqYMcR+,49152:SelyRGvIFE0bYjiYbMaSufPgZK2CZIdPFu00A0oFV4VRaqIdTQcr2o29:ZCGvIFGt14ZK4iA0oL4VRaqYMcR+,a443cf9c37a71839,ai_or_synthetic
0dee571b-70da-463a-a20a-aa1c822766f9,/home/devadharshini/Downloads/data-images/Canon_60D/pristine/DPP0581.TIF,image,intact,ok,100.0,8c66752a86a0d2053d58783157f8c052a05a12e1e58afe5b899253e0bf5bcd7c,8c66752a86a0d2053d58783157f8c052a05a12e1e58afe5b899253e0bf5bcd7c,49152:8lOXt5gktdGdbe4JoJuqlawMwHqRurYSiALJFaM6r:8A3gGcdOJmwK15ALJFadr,49152:8lOXt5gktdGdbe4JoJuqlawMwHqRurYSiALJFaM6r:8A3gGcdOJmwK15ALJFadr,942ad51a9ba387b5,ai_or_synthetic
0dee571b-70da-463a-a20a-aa1c822766f9,/home/devadharshini/Downloads/data-images/Canon_60D/pristine/DPP0602.TIF,image,intact,ok,100.0,419a426590443e8b4e7b0cdc71164ace5e54e2945078347abd27d9afc8696ac1,419a426590443e8b4e7b0cdc71164ace5e54e2945078347abd27d9afc8696ac1,49152:jj0cj3pfDntdVWOue3UBy1GQc682SLWR/BXg8jycknVCgsldpgTbHDKw+k:jj0yfDtdp3XE6EqR/mlckVClQbHDKu,49152:jj0cj3pfDntdVWOue3UBy1GQc682SLWR/BXg8jycknVCgsldpgTbHDKw+k:jj0yfDtdp3XE6EqR/mlckVClQbHDKu,c3e5ed3cac0ac68a,ai_or_synthetic
0dee571b-70da-463a-a20a-aa1c822766f9,/home/devadharshini/Downloads/data-images/Canon_60D/pristine/DPP0583.TIF,image,intact,ok,100.0,acafd736cc7c3ff05b514c684a5c4ec3f1d6ad7d832ec8c28c7b1afa33f85be4,acafd736cc7c3ff05b514c684a5c4ec3f1d6ad7d832ec8c28c7b1afa33f85be4,49152:TWLRCsnSDbSPd6V4TQ6QuAfV3beGF3gGuzFnPkie4il4QceEGvMcNUTL0tTyoy6:a7SSPM1asIzFPkpl4QcNG0cQwtS6,49152:TWLRCsnSDbSPd6V4TQ6QuAfV3beGF3gGuzFnPkie4il4QceEGvMcNUTL0tTyoy6:a7SSPM1asIzFPkpl4QcNG0cQwtS6,dcda637bd6042919,ai_or_synthetic
0dee571b-70da-463a-a20a-aa1c822766f9,/home/devadharshini/Downloads/data-images/Canon_60D/pristine/DPP0451.TIF,image,intact,ok,100.0,d207e4ce3e7af2efbcd4c4693fa413643ff467a7de78ab8fd500f0a314b4b299,d207e4ce3e7af2efbcd4c4693fa413643ff467a7de78ab8fd500f0a314b4b299,49152:MVf79IwlxB1rZW8XRW9OqaWkgQEAdQDaVkoXMisn7cj68h5WE6HyEKKVBZZL:MtmWrZpBwOqdreQFhFc95WlZZL,49152:MVf79IwlxB1rZW8XRW9OqaWkgQEAdQDaVkoXMisn7cj68h5WE6HyEKKVBZZL:MtmWrZpBwOqdreQFhFc95WlZZL,cd3a6d1b31364167,ai_or_synthetic
0dee571b-70da-463a-a20a-aa1c822766f9,/home/devadharshini/Downloads/data-images/Canon_60D/pristine/DPP0044.TIF,image,intact,ok,100.0,4710a7e5f2d7823022f566f4fcea6efcbca6c9143843f64a8d309e9cfea114f0,4710a7e5f2d7823022f566f4fcea6efcbca6c9143843f64a8d309e9cfea114f0,49152:5XqbWq3KKcM1HsOcRU6XLhEfGXh3M5arULhD/oQ:5abIKcM1HsOcRU6VEf4MEULhDl,49152:5XqbWq3KKcM1HsOcRU6XLhEfGXh3M5arULhD/oQ:5abIKcM1HsOcRU6VEf4MEULhDl,f9c90f66808807ff,ai_or_synthetic
0dee571b-70da-463a-a20a-aa1c822766f9,/home/devadharshini/Downloads/data-images/Canon_60D/pristine/DPP0478.TIF,image,intact,ok,100.0,be86ef7ffe1984a3dec7f5218512ce308ac453edec364e980ffe75ccd18aec4b,be86ef7ffe1984a3dec7f5218512ce308ac453edec364e980ffe75ccd18aec4b,98304:j2ob1pPRq++eqbmfokg+52WzxpKHv6HabMY3qSj:Cq/ZrWmAkNrKCHzYqSj,98304:j2ob1pPRq++eqbmfokg+52WzxpKHv6HabMY3qSj:Cq/ZrWmAkNrKCHzYqSj,c17a4f9690f4471b,ai_or_synthetic
